"ITEM","DESCRIPTION","BUSINESS_UNIT","FINANCIAL_BU","STOCK PRIORITY","Sourcing Apr.26","Sourcing May.26","Cambios","Sourcing Jun.26","Cambio"
"12466","ACC-T30UX","10","Sensors","N","USA to MTY","USA to MTY","0","USA to MTY","0"
"88064","ACC-TL50-GSK-FDA-10","60","Lighting","N","USA to MTY","USA to MTY","0","USA to MTY","0"
"808587","ACC-TL50-HARDWARE-BLK-10","60","Lighting","N","USA to MTY","USA to MTY","0","USA to MTY","0"
"802925","ACC-TL70-K70-BLK-10","60","Lighting","N","USA to MTY","USA to MTY","0","USA to MTY","0"
"62492","ACC-TM18-HW","10","Sensors","N","USA to MTY","USA to MTY","0","USA to MTY","0"
"18435","ACC-WL50F-MAG","10","Sensors","N","USA to MTY","USA to MTY","0","USA to MTY","0"
"814275","ACC-WLA STANDOFFS","60","Lighting","N","USA to MTY","USA to MTY","0","USA to MTY","0"
"810456","ACC-WLB72 DRIVER","60","Lighting","N","SLP to MTY","SLP to MTY","0","SLP to MTY","0"
"808290","ACC-WLB72-CSR-5","60","Lighting","N","USA to MTY","USA to MTY","0","USA to MTY","0"
"91206","ACC-WLC60-340-GSK-FDA-1","60","Lighting","N","USA to MTY","USA to MTY","0","USA to MTY","0"
"91763","ACC-WLC60-340-GSK-N-1","60","Lighting","N","USA to MTY","USA to MTY","0","USA to MTY","0"
"814863","AMG-SNAP-ID","50","Ind Wir","N","USA to MTY","USA to MTY","0","USA to MTY","0"
"814796","AMG-SNAP-ID-A","50","Ind Wir","N","USA to MTY","USA to MTY","0","USA to MTY","0"
"815390","AMG-SNAP-ID-C","50","Ind Wir","N","USA to MTY","USA to MTY","0","USA to MTY","0"
"814794","AMG-SNAP-ID-W","50","Ind Wir","N","USA to MTY","USA to MTY","0","USA to MTY","0"
"27634","AP12SC","10","Sensors","N","USA to MTY","USA to MTY","0","USA to MTY","0"
"27633","AP12SR","10","Sensors","N","USA to MTY","USA to MTY","0","USA to MTY","0"
"32689","AP18SC","10","Sensors","N","USA to MTY","USA to MTY","0","USA to MTY","0"
"74361","AP18SC-74361","10","Sensors","N","USA to MTY","USA to MTY","0","USA to MTY","0"
"50934","AP18SCN","10","Sensors","N","USA to MTY","USA to MTY","0","USA to MTY","0"
"32707","AP18SR","10","Sensors","N","USA to MTY","USA to MTY","0","USA to MTY","0"
"50935","AP18SRN","10","Sensors","N","USA to MTY","USA to MTY","0","USA to MTY","0"
"27127","AP31-020","10","Sensors","N","USA to MTY","USA to MTY","0","USA to MTY","0"
"27130","AP31-020H","10","Sensors","N","USA to MTY","USA to MTY","0","USA to MTY","0"
"27134","AP31-020V","10","Sensors","N","USA to MTY","USA to MTY","0","USA to MTY","0"
"27128","AP31-040","10","Sensors","N","USA to MTY","USA to MTY","0","USA to MTY","0"
"27131","AP31-040H","10","Sensors","N","USA to MTY","USA to MTY","0","USA to MTY","0"
"27135","AP31-040V","10","Sensors","N","USA to MTY","USA to MTY","0","USA to MTY","0"
"27129","AP31-100","10","Sensors","N","USA to MTY","USA to MTY","0","USA to MTY","0"
"27132","AP31-100H","10","Sensors","N","USA to MTY","USA to MTY","0","USA to MTY","0"
"27136","AP31-100V","10","Sensors","N","USA to MTY","USA to MTY","0","USA to MTY","0"
"27133","AP31-200H","10","Sensors","N","USA to MTY","USA to MTY","0","USA to MTY","0"
"27137","AP31-200V","10","Sensors","N","USA to MTY","USA to MTY","0","USA to MTY","0"
"27138","AP31-DVHX2","10","Sensors","N","USA to MTY","USA to MTY","0","USA to MTY","0"
"25328","AP100-C3","10","Sensors","N","USA to MTY","USA to MTY","0","USA to MTY","0"
"16006","AP400-030R","10","Sensors","N","USA to MTY","USA to MTY","0","USA to MTY","0"
"74893","APC-18","20","Sensors","N","USA to MTY","USA to MTY","0","USA to MTY","0"
"78526","APC-18P","20","Sensors","N","USA to MTY","USA to MTY","0","USA to MTY","0"
"79313","APC-18PM4","20","Sensors","N","USA to MTY","USA to MTY","0","USA to MTY","0"
"42703","APG18S","10","Sensors","S","USA to MTY","USA to MTY","0","USA to MTY","0"
"71716","APG18SMSS","10","Sensors","N","USA to MTY","USA to MTY","0","USA to MTY","0"
"27533","APG30S","10","Sensors","N","USA to MTY","USA to MTY","0","USA to MTY","0"
"78885","APK-Q20","10","Sensors","N","USA to MTY","USA to MTY","0","USA to MTY","0"
"73734","APKQ12","10","Sensors","N","USA to MTY","USA to MTY","0","USA to MTY","0"
"813936","APQ2X-1","10","Sensors","N","USA to MTY","USA to MTY","0","USA to MTY","0"
"813937","APQ2X-1.5","10","Sensors","N","USA to MTY","USA to MTY","0","USA to MTY","0"
"813938","APQ2X-2","10","Sensors","N","USA to MTY","USA to MTY","0","USA to MTY","0"
"813939","APQ2X-VH","10","Sensors","N","USA to MTY","USA to MTY","0","USA to MTY","0"
"73735","APQ12-.5","10","Sensors","N","USA to MTY","USA to MTY","0","USA to MTY","0"
"73739","APQ12-.5H","10","Sensors","N","USA to MTY","USA to MTY","0","USA to MTY","0"
"73741","APQ12-.5V","10","Sensors","N","USA to MTY","USA to MTY","0","USA to MTY","0"
"73736","APQ12-1","10","Sensors","N","USA to MTY","USA to MTY","0","USA to MTY","0"
"73737","APQ12-1.5","10","Sensors","N","USA to MTY","USA to MTY","0","USA to MTY","0"
"73740","APQ12-1H","10","Sensors","N","USA to MTY","USA to MTY","0","USA to MTY","0"
"73742","APQ12-1V","10","Sensors","N","USA to MTY","USA to MTY","0","USA to MTY","0"
"73738","APQ12-2","10","Sensors","N","USA to MTY","USA to MTY","0","USA to MTY","0"
"73743","APQ12-4S","10","Sensors","N","USA to MTY","USA to MTY","0","USA to MTY","0"
"78361","APQ12-HP","10","Sensors","N","USA to MTY","USA to MTY","0","USA to MTY","0"
"88254","APQ12-HPW","10","Sensors","N","USA to MTY","USA to MTY","0","USA to MTY","0"
"78362","APQ12-VP","10","Sensors","N","USA to MTY","USA to MTY","0","USA to MTY","0"
"88255","APQ12-VPW","10","Sensors","N","USA to MTY","USA to MTY","0","USA to MTY","0"
"78879","APQ20-0.5","10","Sensors","N","USA to MTY","USA to MTY","0","USA to MTY","0"
"78882","APQ20-0.5V","10","Sensors","N","USA to MTY","USA to MTY","0","USA to MTY","0"
"78880","APQ20-1","10","Sensors","N","USA to MTY","USA to MTY","0","USA to MTY","0"
"808791","APQ20-1.5","10","Sensors","N","USA to MTY","USA to MTY","0","USA to MTY","0"
"78883","APQ20-1V","10","Sensors","N","CHN to MTY","CHN to MTY","0","CHN to MTY","0"
