"Numero De Parte","Descripci?n","Subinventario","Ubicaci?n","Cantidad Disponible",
"806849","S22AMTSXGHT","MFG","307.A.41","2",
"63097","VS2AN5RQ","MFG","307.G.53","1",
"808430","S22AMTSBWET","MFG","307.H.52","6",
"816191","BCS1KVP2M","MFG","307.D.62","15",
"92255","K30ALBTXYH","MFG","307.E.40","2",
"96566","K30ABT2GGH","MFG","307.L.56","2",
"802644","T18-2VPDS-2M","MFG","307.P.34","11",
"40069","WIRE 11050 WHT/BLU 009.5 B Y0.125 Z0.125","MFG","307.P.46","150",
"816273","BCS1KVNQ","MFG","307.T.56","15",
"12786","PDIS16UM10","MFG","307.O.17","24",
"806747","S22ALTSWGHQ","MFG","307.O.43","1",
"819587","BC-M12F4A-22-0.3","MFG","308.A.44","4",
"807139","SI-MAGB2SMQD","MFG","308.F.51","1",
"97169","PBR1X3230U-VL","MFG","308.B.14","8",
"190248","MALE LUER INTEGRAL LOCK RING TO FEMALE LUER THREAD STYLE COUPLER","MFG","307.V.31","570",
"22001","BT23SM6","MFG","308.Q.35","8",
"168324","SCREW M3 X 0.5 - 6g X 8 MM HEX SHCS DIN 912 W/ FLAT WASHER DIN 433 AND LOCK WASHER DIN 127 ALLOY STEEL CLASS 12.9 BLACK OXIDE","MFG","308.L.65","9000",
"202707","WIRE 11084 WHT 010.00 B Y0.250 Z0.325","MFG","308.J.22","50",
"803922","WLS28-2CWGRXX3-0570L25S24Q","MFG","311.L.25","1",
"814108","WLS15PXRGB0640DSC2-814108","MFG","312.B.11","74",
"802052","WLS15CWW0640DSC2","MFG","312.B.15","77",
"119538","LS2LR30-300Q8 EZS TYPE2 R SUB LATCH 30mm X 300mm NO PKG","MFG","311.F.32","1",
"13164","TL50YBRAQ","MFG","308.V.61","5",
"812238","QM42-DPS20-1Q","MFG","308.W.34","3",
"138821","LS2HDE30-450Q8 EZS T2 HD E SUB ASSY 30mmX450mm NO PKG TYPE2 HEAVY DUTY","MFG","312.J.21","47",
"807919","K50PTFVKQP","MFG","304.D.35","11",
"148715","QD INSERT EURO 4-WIRE 4 PIN 5 INCH WIRES 22 AWG","MFG","304.E.35","113",
"807607","MQDEC-STP-501SS","MFG","304.F.30","200",
"817923","QS18EP6FP-817923","MFG","304.K.14","33",
