"Numero De Parte","Descripci?n","Subinventario","Ubicaci?n","Cantidad Disponible",
"97341","Q4XFKLAF310-Q8","NFG","93.C.05","16",
"71878","QS18VN6FF100Q8","NFG","95.H.03","19",
"73544","LS2TP30-150Q88","NFG","57.C.02","2",
"807394","BWA-QM30-FMSS","NFG","57.F.02","480",
"809187","TL50B-GYRABSZ-CNMW04","NFG","57.L.04","432",
"88640","LS2HDVAP30-300Q88","NFG","58.A.02","3",
"89938","SLLCP40-1610","NFG","59.B.01","1",
"800121","SLLCP23-1120-B16","NFG","59.C.02","2",
"806614","QCM50-K3D60-Q8-5","NFG","77.E.06","9",
"88693","K50APTGRXD5Q-88693","NFG","94.D.02","1",
"35150","S18RW3DLQ1","NFG","94.F.02","2",
"92548","M18-3VNLV-Q8","NFG","94.F.03","2",
"32719","S18AW3FF100 W/30","NFG","95.A.02","1",
"97539","Q4XFPLAF310-Q8","NFG","95.B.02","20",
"97635","QS18EN6XLPCQ8","NFG","95.B.02","7",
"73121","D10AFPY","NFG","95.C.05","1",
"810296","Q2XABAF150-Q","NFG","95.D.07","3",
"30325","S18SP6FF50","NFG","95.E.05","1",
"77759","Q20ND","NFG","104.E.03","150",
"75742","QS18VP6LAF250Q5","NFG","104.L.02","14",
"813287","QS18VP6FF100-CNPV01","NFG","105.B.04","7",
"197719","COB ASSY QS18FF150 ASIC B PNP3 B197710 PA-14 0.031","NFG","100.B.04","168",
"194367","MODULE PE OPTIC CUTOFF ADJ FF100 PNP ASIC IR","NFG","101.A.03","12",
"75762","QS186LE211","NFG","102.C.01","2",
"800548","M18-3VNFF75-2M","NFG","102.C.02","1",
"74145","Q12AB6LPQ5","NFG","102.C.06","2",
"85783","DQ12RB6FF30","NFG","102.D.05","10",
"42142","S18-2VNLP-Q8","NFG","102.E.06","11",
"25967","PBT46U","NFG","103.E.03","184",
"92598","S25UTC200-92598","NFG","75.E.03","264",
"11449","QS18VN6AF300Q","NFG","105.J.02","4",
"32167","OTBA5L","NFG","73.F.05","1",
"7700122","RO20m-Q18-VP6X2-H1141-0.15","NFG","73.G.04","1",
"75019","SLM80B6 W/30","NFG","74.F.03","1",
"201966","LENS ASSY T18D","NFG","75.H.03","100",
"91532","S18SN6D-91532","NFG","76.B.07","1",
"817570","IC70-16P-K","NFG","76.C.06","1",
"116894","WIRE 116888 GRN/YEL 001.5 B Y0.125 Z0.125","NFG","76.J.07","61",
"74965","SLM10B6","NFG","96.B.03","40",
"75227","QS18EP6DVQ7","NFG","96.G.02","3",
"800597","M18-4VNFF100-2M","NFG","96.H.02","2",
"02715","S18UBARQ","NFG","97.G.04","92",
"96587","K30APT2XGF2Q","NFG","92.H.05","2",
"151851","PLASTIC MATERIAL RAW ACRYLIC (PMMA) ALTUGLAS PLEXIGLAS V825 RED 461","NFG","57.Q.01","150",
"809072","SLLR14-1190-S","NFG","111.A.01","4",
"812366","S4BR14-450-S","NFG","112.B.04","2",
"814324","SLLE23-420-S-CNJ1","NFG","112.C.04","2",
"75426","EA5E600Q","NFG","112.J.02","2",
"72382","SLSP14-600Q88","NFG","113.B.01","1",
"88663","PKG5M-2","NFG","90.K.07","6",
"807894","QS18EK6EVQ","NFG","90.J.03","2",
"809574","Q20APFF50Q3","NFG","96.K.06","1",
"78272","Q20PRL","NFG","96.K.07","2",
"45156","S18S2P6FF100Q","NFG","92.K.04","1",
"81567","T30UUPAQ-CRFV","NFG","93.L.02","2",
"79014","K50RPLPGRYC3QPMA","NFG","93.L.02","1",
"814317","BSCAB-ETH-M02","NFG","90.L.05","2",
"77430","SI-HG63FQDR SUB-ASSY RIGHT MOUNT STAINLESS STEEL","NFG","90.F.05","3",
"30745","RELAY THRU POWER 9V 5A 1NO 1NC","NFG","88.C.05","783",
"63005","Q60VR3AF2000Q1","NFG","88.E.04","3",
"28675","IVURDM-QD-815","NFG","90.A.01","22",
"809705","PT1000PSIG-2119-I2-DT043P","NFG","90.A.04","10",
"810579","Q4XFKLAF610Q8-CNSC01","NFG","90.B.02","29",
"111838","CAP END QD EZS RCVR 8-PIN SUB ASSY RECEIVER 14/30mm","NFG","93.A.02","1",
"39898","PIF66U","NFG","93.F.05","1",
"78880","APQ20-1","NFG","77.B.03","3",
"800803","S18-2VNDS-2M-800803","NFG","95.H.01","3",
"70977","MQDC2S-830","NFG","57.A.03","476",
"810840","TL50B-BGYRABSZ","NFG","57.F.01","245",
"185198","LIT PACKET EZS T2 HD V-SERIES SUB ASSY ENGLISH TYPE2 HEAVY DUTY V-SERIES","NFG","57.H.02","198",
"813736","QDE-815D BSZ","NFG","57.K.04","2390",
